query_id,query_text,num_joins,num_filters,num_tables,query_length,has_groupby,has_orderby,uses_index,estimated_rows,estimated_filtered_rows,execution_time
1,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id ORDER BY O.order_date ASC LIMIT 25",2,0,3,225,0,1,1,25.0,25.0,0.2433
2,"SELECT quantity, order_date, customer_id, total_amount FROM Orders",0,0,1,66,0,0,0,50000.0,50000.0,57.5738
3,SELECT * FROM Customers WHERE country = 'Mauritius' AND email LIKE '%elizabeth.freeman.1400%' AND state = 'Florida' LIMIT 100,0,3,1,125,0,0,0,10000.0,11.0,4.2525
4,"SELECT state, phone FROM Customers WHERE country = 'El Salvador' AND email LIKE '%tracy.keller.9750%' ORDER BY first_name ASC LIMIT 10",0,2,1,134,0,1,0,10000.0,111.0,2.2547
5,SELECT * FROM Orders ORDER BY customer_id ASC,0,0,1,45,0,1,0,50000.0,50000.0,87.8756
6,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.order_date >= '2025-11-05' OR O.status = 'Refunded' ORDER BY P.price DESC",2,2,3,272,0,1,1,50000.0,20000.0,75.6611
7,"SELECT last_name, created_at FROM Customers",0,0,1,43,0,0,0,10000.0,10000.0,8.5182
8,"SELECT country, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY country LIMIT 500",0,0,1,104,1,0,0,10000.0,10000.0,7.1264
9,"SELECT state, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY state",0,0,1,90,1,0,0,10000.0,10000.0,5.1778
10,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.rating >= 4.3",1,1,2,157,0,0,1,50000.0,16665.0,31.7586
11,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id,1,0,2,61,0,0,1,50000.0,50000.0,129.992
